id,lat,lon,user,uid,version,changeset,timestamp
190724515,37.3883050,-5.9948201,erlenmeyer,875518,13,16189857,2013-05-19T08:07:31Z
190724517,37.3877007,-5.9942529,erlenmeyer,875518,10,16189857,2013-05-19T08:07:31Z
191131090,37.3866021,-5.9937513,vohokudul,9211483,17,65976530,2019-01-03T02:51:54Z
191131092,37.3866732,-5.9926921,vohokudul,9211483,12,65976530,2019-01-03T02:51:54Z
191131093,37.3862457,-5.9926385,vohokudul,9211483,14,65976506,2019-01-03T02:49:00Z
191131095,37.3862586,-5.9924843,vohokudul,9211483,14,65976506,2019-01-03T02:49:00Z
191131096,37.3859253,-5.9924226,erlenmeyer,875518,13,35133560,2015-11-06T19:27:42Z
191131098,37.3858582,-5.9923421,erlenmeyer,875518,13,35082885,2015-11-04T16:31:16Z
191131100,37.3857585,-5.9924019,erlenmeyer,875518,13,35133560,2015-11-06T19:27:42Z
191131102,37.3857068,-5.9923956,erlenmeyer,875518,13,35133560,2015-11-06T19:27:42Z
191131105,37.3853013,-5.9923198,erlenmeyer,875518,10,13542807,2012-10-18T10:44:41Z
191131106,37.3852515,-5.9923636,erlenmeyer,875518,11,13542807,2012-10-18T10:44:42Z
191131110,37.3851578,-5.9935924,erlenmeyer,875518,10,13542807,2012-10-18T10:44:42Z
191131111,37.3853396,-5.9936646,erlenmeyer,875518,10,13542807,2012-10-18T10:44:42Z
191131115,37.3853298,-5.9938071,erlenmeyer,875518,10,13542807,2012-10-18T10:44:42Z
191135798,37.3883223,-5.9946347,erlenmeyer,875518,10,19485389,2013-12-16T17:14:03Z
191135799,37.3890292,-5.9947164,erlenmeyer,875518,10,27269951,2014-12-05T18:10:54Z
191135801,37.3890496,-5.9944297,erlenmeyer,875518,9,19485389,2013-12-16T17:14:03Z
191135802,37.3889405,-5.9944135,erlenmeyer,875518,9,19485389,2013-12-16T17:14:03Z
191135803,37.3889450,-5.9943019,erlenmeyer,875518,9,19485389,2013-12-16T17:14:03Z
191135805,37.3883674,-5.9942646,erlenmeyer,875518,9,19485389,2013-12-16T17:14:03Z
191224675,37.3905626,-5.9909647,BoomEngine,288925,25,80337723,2020-01-30T21:10:14Z
191224676,37.3903931,-5.9904346,erlenmeyer,875518,17,20475394,2014-02-09T23:23:01Z
191224677,37.3902072,-5.9905982,erlenmeyer,875518,21,20475394,2014-02-09T23:23:01Z
191224678,37.3903541,-5.9910962,BoomEngine,288925,15,79127974,2020-01-02T19:30:22Z
191230155,37.3900712,-5.9902474,BoomEngine,288925,17,79127974,2020-01-02T19:30:22Z
191230157,37.3899906,-5.9899778,BoomEngine,288925,15,79127974,2020-01-02T19:30:22Z
191230158,37.3898163,-5.9890006,cirdancarpintero,2245342,22,54498187,2017-12-09T22:46:00Z
