id,key,value,type
18535436,building,cathedral,regular
18535436,source,catastro,regular
18536016,city,Sevilla,addr
18536016,amenity,townhall,regular
18536016,building,civic,regular
18536016,colour,#d4c5ab,building
18536016,levels,3,building
18536016,name,Ayuntamiento de Sevilla,regular
18536016,ko,세비야 시청,name
18536016,colour,#b59272,roof
18536016,shape,flat,roof
18536016,source,catastro,regular
18536016,type,municipality,townhall
18536016,wheelchair,yes,regular
18536016,wikidata,Q5047899,regular
18545389,highway,living_street,regular
18545389,history,Retrieved from v22,regular
18545389,name,Calle Cabo Noval,regular
18545389,left:width,1.40,sidewalk
18545389,source,ide.Sevilla,regular
18545389,date,2011,source
18545389,surface,cobblestone,regular
18545937,highway,pedestrian,regular
18545937,name,Calle San Juan,regular
18545937,surface,paving_stones,regular
18546016,highway,living_street,regular
18546016,name,Calle Cabeza del Rey Don Pedro,regular
18546016,oneway,yes,regular
18546016,left:width,0.90,sidewalk
18546016,right:width,1.50,sidewalk
18546016,surface,asphalt,regular
18546585,amenity,place_of_worship,regular
18546585,denomination,catholic,regular
18546585,name,Iglesia del Salvador,regular
18546585,official_name,Iglesia Colegial del Divino Salvador,regular
18546585,religion,christian,regular
18546585,wikidata,Q5912858,regular
18546585,wikipedia,es:Iglesia del Salvador (Sevilla),regular
18548712,city,Sevilla,addr
18548712,housename,Estación de trenes Santa Justa,addr
18548712,building,train_station,regular
18548712,levels,4,building
18548712,roof:colour,#817B6B,building
18548712,name,Sevilla Santa Justa,regular
18548712,levels,0,roof
18550012,electrified,contact_line,regular
18550012,frequency,0,regular
18550012,gauge,1668,regular
18550012,operator,Adif,regular
18550012,railway,rail,regular
18550012,usage,main,regular
18550012,voltage,3000,regular
18613259,highway,pedestrian,regular
18613259,name,Calle Guadarmino,regular
18613259,surface,paving_stones,regular
18613651,highway,living_street,regular
18613651,lit,yes,regular
18613651,name,Calle José Luis Luque,regular
18613651,sidewalk,both,regular
18613651,surface,paving_stones,regular
18613820,highway,living_street,regular
18613820,maxspeed,20,regular
18613820,name,Calle Alfalfa,regular
18613820,oneway,yes,regular
18613820,both:width,0.80,sidewalk
18613820,maxspeed,sign,source
18613820,surface,asphalt,regular
18615552,highway,pedestrian,regular
18615552,history,Retrieved from v10,regular
18615552,name,Calle Sierpes,regular
18615552,surface,paving_stones,regular
18616007,highway,pedestrian,regular
18616007,name,Calle Cuna,regular
18616007,surface,sett,regular
18616645,area,yes,regular
18616645,highway,pedestrian,area
18616645,lit,yes,regular
18616645,name,Calle José Luis Luque,regular
18616645,place,square,regular
18616645,surface,paving_stones,regular
18616774,highway,living_street,regular
18616774,name,Calle Don Alonso el Sabio,regular
18616774,sidewalk,no,regular
18616774,surface,cobblestone,regular
18616882,highway,pedestrian,regular
18616882,name,Calle Alcaicería de la Loza,regular
18616882,surface,paving_stones,regular
18616918,highway,pedestrian,regular
18616918,name,Calle Herbolarios,regular
18616918,old_name,Calle Ferretería de la Plaza del Pan,regular
18616918,surface,paving_stones,regular
18617128,area,yes,regular
18617128,highway,pedestrian,area
18617128,loc_name,Plaza del Pan,regular
18617128,name,Plaza Jesús de la Pasión,regular
18617128,place,square,regular
18617128,surface,paving_stones,regular
18937654,highway,living_street,regular
18937654,name,Calle Alhóndiga,regular
18937654,oneway,yes,regular
18937654,sidewalk,both,regular
18937654,source,ide.Sevilla,regular
18937654,surface,asphalt,regular
18937742,highway,residential,regular
18937742,name,Calle Dormitorio,regular
18937742,oneway,yes,regular
18937742,sidewalk,no,regular
18937742,surface,asphalt,regular
18938044,area,yes,regular
18938044,highway,pedestrian,area
18938044,name,Plaza del Buen Suceso,regular
18938044,place,square,regular
18938044,surface,cobblestone,regular
18939338,bicycle,yes,regular
18939338,highway,pedestrian,regular
18939338,history,Retrieved from v7,regular
18939338,name,Calle Felipe Pérez,regular
18939338,surface,cobblestone,regular
18939466,highway,steps,regular
18939466,history,Retrieved from v7,regular
18939466,source,Bing,regular
18939466,date,2013,source
18939466,surface,paving_stones,regular
18939655,highway,pedestrian,regular
18939655,name,Calle Álvarez Quintero,regular
18939655,surface,paving_stones,regular
18939724,highway,pedestrian,regular
18939724,history,Retrieved from v7,regular
18939724,name,Calle Rodríguez Zapata,regular
18939724,surface,paving_stones,regular
18939795,highway,pedestrian,regular
18939795,history,Retrieved from v6,regular
18939795,name,Calle Chicarreros,regular
18939795,surface,paving_stones,regular
18939952,highway,pedestrian,regular
18939952,name,Calle Conteros,regular
18939952,surface,paving_stones,regular
18940032,highway,pedestrian,regular
18940032,history,Retrieved from v6; Retrieved from v5,regular
18940032,name,Calle Placentines,regular
18940032,surface,paving_stones,regular
18940066,highway,pedestrian,regular
18940066,name,Calle Chapineros,regular
18940066,surface,paving_stones,regular
18940306,highway,pedestrian,regular
18940306,name,Calle Pajaritos,regular
18940306,surface,paving_stones,regular
18940336,highway,living_street,regular
18940336,history,Retrieved from v9,regular
18940336,name,Calle Manuel Rojas Marcos,regular
18940336,oneway,yes,regular
18940336,sidewalk,no,regular
18940336,surface,cobblestone,regular
18940377,highway,pedestrian,regular
18940377,name,Calle San Isidoro,regular
18940377,surface,sett,regular
18945548,highway,pedestrian,regular
18945548,name,Calle Córdoba,regular
18945548,surface,paving_stones,regular
18945609,highway,pedestrian,regular
18945609,lit,yes,regular
18945609,name,Calle Puente y Pellón,regular
18945609,surface,paving_stones,regular
18945752,highway,living_street,regular
18945752,history,Retrieved from v6,regular
18945752,lit,yes,regular
18945752,maxwidth,1.80,regular
18945752,name,Calle Luchana,regular
18945752,oneway,yes,regular
18945752,sidewalk,both,regular
18945752,surface,sett,regular
18946006,highway,pedestrian,regular
18946006,name,Calle Golfo,regular
18946006,surface,sett,regular
18946123,highway,pedestrian,regular
18946123,name,Calle Siete Revueltas,regular
18946123,surface,cobblestone,regular
18946143,highway,pedestrian,regular
18946143,name,Calle Siete Revueltas,regular
18946143,surface,paving_stones,regular
18946341,highway,pedestrian,regular
18946341,name,Calle Morería,regular
18946341,surface,cobblestone,regular
18977862,highway,living_street,regular
18977862,name,Calle Sales y Ferré,regular
18977862,oneway,yes,regular
18977862,both:width,0.50,sidewalk
18977862,surface,asphalt,regular
18980244,highway,pedestrian,regular
18980244,name,Calle Fernández y González,regular
18980244,surface,paving_stones,regular
19095773,highway,pedestrian,regular
19095773,history,Retrieved from v5,regular
19095773,name,Calle Blanca de los Ríos,regular
19095773,surface,paving_stones,regular
19095774,highway,pedestrian,regular
19095774,name,Calle Cardenal Sanz y Fores,regular
19095774,surface,cobblestone,regular
19095778,highway,pedestrian,regular
19095778,history,Retrieved from v5,regular
19095778,name,Calle Cerrajería,regular
19095778,surface,paving_stones,regular
19095780,highway,pedestrian,regular
19095780,history,Retrieved from v6,regular
19095780,name,Calle Sagasta,regular
19095780,surface,paving_stones,regular
19095782,highway,pedestrian,regular
19095782,name,Calle José Gestoso,regular
19095782,old_name,Calle de La Venera,regular
19095782,surface,paving_stones,regular
19095784,highway,pedestrian,regular
19095784,lit,yes,regular
19095784,name,Calle Goyeneta,regular
19095784,surface,paving_stones,regular
19095786,highway,pedestrian,regular
19095786,name,Calle Lagar,regular
19095786,surface,paving_stones,regular
19095787,highway,pedestrian,regular
19095787,name,Calle Acetres,regular
19095787,surface,paving_stones,regular
19095788,highway,pedestrian,regular
19095788,name,Calle Rivero,regular
19095788,surface,paving_stones,regular
19790053,highway,pedestrian,regular
19790053,maxspeed,30,regular
19790053,maxwidth,1.8,regular
19790053,name,Calle Guzmán el Bueno,regular
19790053,oneway,yes,regular
19790053,surface,cobblestone,regular
19790056,highway,living_street,regular
19790056,history,Retrieved from v2,regular
19790056,name,Calle Aire,regular
19790056,sidewalk,no,regular
19790056,surface,cobblestone,regular
19790057,highway,pedestrian,regular
19790057,name,Calle Abades,regular
19790057,surface,paving_stones,regular
19790058,highway,pedestrian,regular
19790058,name,Calle Ángeles,regular
19790058,surface,paving_stones,regular
19790059,highway,pedestrian,regular
19790059,history,Retrieved from v2,regular
19790059,name,Calle Mármoles,regular
19790059,surface,paving_stones,regular
19790061,area,yes,regular
19790061,highway,pedestrian,regular
19790061,name,Plaza de la Alianza,regular
19790061,surface,sett,regular
19790063,highway,living_street,regular
19790063,history,Retrieved from v2,regular
19790063,name,Pasaje de Andreu,regular
19790063,sidewalk,both,regular
19790063,surface,sett,regular
19790064,highway,pedestrian,regular
19790064,lit,yes,regular
19790064,name,Calle Ximénez de Enciso,regular
19790064,surface,cobblestone,regular
19790066,highway,pedestrian,regular
19790066,lit,yes,regular
19790066,name,Calle Meson del Moro,regular
19790066,surface,cobblestone,regular
19790067,highway,pedestrian,regular
19790067,name,Calle Jamerdana,regular
19790067,surface,cobblestone,regular
19790069,highway,pedestrian,regular
19790069,maxwidth,1,regular
19790069,name,Calle Reinoso,regular
19790069,surface,paving_stones,regular
19790070,highway,living_street,regular
19790070,name,Calle Fabiola,regular
19790070,oneway,yes,regular
19790070,sidewalk,no,regular
19790070,surface,cobblestone,regular
19790071,bicycle,yes,regular
19790071,cycleway,no,regular
19790071,highway,pedestrian,regular
19790071,history,Retrieved from v3,regular
19790071,lit,yes,regular
19790071,motor_vehicle,no,regular
19790071,name,Calle Santa Teresa,regular
19790071,surface,sett,regular
19790073,highway,living_street,regular
19790073,history,Retrieved from v5,regular
19790073,motor_vehicle,private,regular
19790073,name,Calle Nicolás Antonio,regular
19790073,both:width,0.50,sidewalk
19790073,surface,cobblestone,regular
19802240,highway,living_street,regular
19802240,history,Retrieved from v2,regular
19802240,maxspeed,20,regular
19802240,name,Calle Conde de Ibarra,regular
19802240,oneway,yes,regular
19802240,sidewalk,no,regular
19802240,surface,cobblestone,regular
19802241,highway,living_street,regular
19802241,history,Retrieved from v2,regular
19802241,name,Calle Muñoz y Pabón,regular
19802241,oneway,yes,regular
19802241,sidewalk,no,regular
19802241,surface,asphalt,regular
19802242,highway,pedestrian,regular
19802242,name,Calle de la Perla,regular
19802242,surface,paving_stones,regular
19802244,highway,pedestrian,regular
19802244,history,Retrieved from v2,regular
19802244,name,Calle Lirio,regular
19802244,oneway,yes,regular
19802244,surface,cobblestone,regular
19802245,highway,living_street,regular
19802245,maxspeed,30,regular
19802245,name,Calle Vidrio,regular
19802245,oneway,yes,regular
19802245,sidewalk,no,regular
19802245,surface,cobblestone,regular
19802246,highway,living_street,regular
19802246,maxspeed,30,regular
19802246,name,Calle Levíes,regular
19802246,oneway,yes,regular
19802246,both:width,0.90,sidewalk
19802246,surface,cobblestone,regular
19802248,highway,pedestrian,regular
19802248,motor_vehicle,destination,regular
19802248,name,Calle Cristo del Buen Viaje,regular
19802248,sidewalk,both,regular
19802248,surface,sett,regular
19802249,highway,living_street,regular
19802249,maxspeed,30,regular
19802249,name,Calle Armenta,regular
19802249,oneway,-1,regular
19802249,sidewalk,no,regular
19802249,surface,cobblestone,regular
19802250,highway,pedestrian,regular
19802250,lit,yes,regular
19802250,name,Calle Verde,regular
19802250,surface,paving_stones,regular
19802251,highway,pedestrian,regular
19802251,name,Calle San Clemente,regular
19802251,surface,paving_stones,regular
19802252,highway,living_street,regular
19802252,history,Retrieved from v2,regular
19802252,name,Plaza de Pilatos,regular
19802252,oneway,yes,regular
19802252,sidewalk,left,regular
19802252,surface,sett,regular
19802253,highway,living_street,regular
19802253,name,Calle Rodriquez Marín,regular
19802253,oneway,yes,regular
19802253,sidewalk,no,regular
19802253,surface,asphalt,regular
19802255,access,destination,regular
19802255,highway,living_street,regular
19802255,motor_vehicle,destination,regular
19802255,name,Calle Imperial,regular
19802255,oneway,yes,regular
19802255,surface,cobblestone,regular
19802259,highway,service,regular
19802259,sidewalk,both,regular
19802259,surface,paving_stones,regular
19802260,highway,living_street,regular
19802260,name,Calle Virgen de la Alegría,regular
19802260,sidewalk,both,regular
19802260,surface,paving_stones,regular
19802262,highway,residential,regular
19802262,lanes,1,regular
19802262,name,Calle Cano y Cueto,regular
19802262,oneway,yes,regular
19802262,sidewalk,both,regular
19802262,surface,sett,regular
19802263,highway,residential,regular
19802263,lanes,1,regular
19802263,name,Calle Conquista,regular
19802263,oneway,yes,regular
19802263,sidewalk,both,regular
